Date,Open,High,Low,Close,Adj Close,Volume
2/28/2022,462.399994,468.480011,458.859985,467.679993,467.679993,3302300
3/1/2022,468,479.209991,462.920013,466.679993,466.679993,3352800
3/2/2022,471.940002,477.48999,466.040009,471.179993,471.179993,2948500
3/3/2022,475.829987,476.049988,455.450012,459.079987,459.079987,2906300
3/4/2022,455.48999,463.519989,447,452.130005,452.130005,2751600
3/7/2022,456.220001,457.679993,437.179993,437.970001,437.970001,3676100
3/8/2022,432.51001,443.799988,421.359985,431.529999,431.529999,3734800
3/9/2022,443.799988,453.109985,438.929993,450.869995,450.869995,2905700
3/10/2022,444.679993,447.649994,433.01001,438.950012,438.950012,2722300
3/11/2022,439.660004,440.609985,415.429993,416.380005,416.380005,4434500
3/14/2022,413.359985,422.380005,407.940002,411.5,411.5,3731400
3/15/2022,415.970001,422.959991,413.170013,421.660004,421.660004,3201700
3/16/2022,431.73999,442.519989,424.350006,442.359985,442.359985,4141200
3/17/2022,441.26001,446.820007,436.51001,444.359985,444.359985,3556700
3/18/2022,439.200012,453.73999,435.790009,453.329987,453.329987,5898100
3/21/2022,451.420013,459.579987,445.950012,453.589996,453.589996,3704200
3/22/2022,453.5,471.980011,450.690002,466.450012,466.450012,5377000
3/23/2022,437.51001,437.980011,416.470001,422.899994,422.899994,13979800
3/24/2022,426.079987,432.209991,421.48999,432.140015,432.140015,5544300
3/25/2022,435.440002,438.619995,426,431.619995,431.619995,3283600
3/28/2022,433.420013,450.320007,433.149994,450.01001,450.01001,4472600
3/29/2022,459.160004,467.799988,452.440002,466.329987,466.329987,4323800
3/30/2022,461.519989,466.769989,456.839996,460.059998,460.059998,3889200
3/31/2022,461.589996,465.429993,455.429993,455.619995,455.619995,4141300
4/1/2022,455,461.549988,450.959991,458.190002,458.190002,2718400
4/4/2022,461.040009,473.48999,460.609985,468.809998,468.809998,2974500
4/5/2022,469.320007,471.76001,455.070007,458.579987,458.579987,2481900
4/6/2022,448.23999,450.01001,439.570007,444.329987,444.329987,3824900
